Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000173141,MRPL57,0,-0.0620200221627654,0.589672445624309,4.89094897387564,0.519418821381413,687,609,576,613,630,642,31.479,29.442,30.542,30.426,26.980,29.219
ENSG00000161265,U2AF1L4,0,-0.0988487969217613,0.5899545860053,2.66580452666635,0.519708259779842,145,146,114,126,124,149,6.644,7.058,6.045,6.254,5.310,6.781
ENSG00000099341,PSMD8,0,-0.0507972020305161,0.590549700634575,7.46475999202452,0.520273467188741,4307,3618,3247,3379,4052,3857,197.353,174.909,172.173,167.718,173.531,175.540
ENSG00000121764,HCRTR1,0,-0.25892630442985,0.591847401249909,-1.26291564143985,0.52145778314009,9,10,8,4,11,10,0.412,0.483,0.424,0.199,0.471,0.455
ENSG00000157111,TMEM171,0,0.305298571446067,0.591991139227057,-1.59821341342125,0.521625479543619,4,5,9,6,11,6,0.183,0.242,0.477,0.298,0.471,0.273
ENSG00000152086,TUBA3E,0,-0.261092634443408,0.592632795572864,-0.971226356136071,0.522231964864382,15,10,9,5,13,13,0.687,0.483,0.477,0.248,0.557,0.592
ENSG00000146576,C7orf26,0,-0.0509911426210756,0.592930308119845,5.65298308588133,0.522566301614912,1172,1111,896,949,1179,1091,53.703,53.710,47.511,47.104,50.492,49.654
ENSG00000122728,TAF1L,0,0.13433771358722,0.592930308119845,1.07150050088712,0.522576372114779,37,43,43,42,56,44,1.695,2.079,2.280,2.085,2.398,2.003
ENSG00000172031,EPHX4,0,0.236693662751147,0.592945057721596,0.247699136869091,0.522630491237273,20,29,19,15,41,32,0.916,1.402,1.007,0.745,1.756,1.456
ENSG00000205302,SNX2,0,-0.0484405245464004,0.593365264101117,5.60867558834401,0.523042016088023,1057,1006,1000,930,1145,1046,48.433,48.634,53.025,46.161,49.036,47.605
ENSG00000158987,RAPGEF6,0,-0.11670319573259,0.593484393097382,3.12345773522656,0.523188183429537,235,176,156,139,183,231,10.768,8.509,8.272,6.899,7.837,10.513
ENSG00000124279,FASTKD3,0,-0.104739783179262,0.593559367476083,2.94489636653303,0.523295439578602,151,167,175,144,154,184,6.919,8.073,9.279,7.147,6.595,8.374
ENSG00000180089,TMEM86B,0,-0.148824680579577,0.593603730032762,1.03999311270186,0.523375715924864,51,52,32,36,52,39,2.337,2.514,1.697,1.787,2.227,1.775
ENSG00000134686,PHC2,0,-0.049668790591209,0.593640429312713,6.77702454435482,0.523449241242104,2507,2435,1980,2118,2588,2308,114.874,117.718,104.990,105.128,110.833,105.042
ENSG00000117281,CD160,0,0.114163876981534,0.593705320819178,1.29907781148833,0.523547632422793,50,47,48,45,66,55,2.291,2.272,2.545,2.234,2.827,2.503
ENSG00000161040,FBXL13,0,0.131720432064141,0.593882076789044,1.0589775970252,0.523744685889478,36,45,41,43,48,49,1.650,2.175,2.174,2.134,2.056,2.230
ENSG00000163320,CGGBP1,0,-0.0545201833753435,0.593911503408041,6.82262526543727,0.523811823879574,2563,2223,2345,2026,2776,2460,117.440,107.469,124.344,100.561,118.885,111.959
ENSG00000118260,CREB1,0,-0.0604222680132702,0.593959361256266,6.28293787550325,0.52401879291971,1772,1602,1543,1287,1900,1828,81.195,77.447,81.818,63.881,81.369,83.196
ENSG00000010270,STARD3NL,0,0.0611582258081329,0.593959361256266,6.57802137563489,0.523972369516395,2077,1754,1955,1965,2248,2124,95.171,84.796,103.664,97.533,96.273,96.667
